,cc,level,category,test,data
198,CG,WARNING,Connectivity,CN01_NO_RESPONSE_UDP,{'ns': 'dns-sg.dnsafrica.net/2402:1f00:8000:800::25ed'}
199,CG,WARNING,Connectivity,CN01_NO_RESPONSE_UDP,{'ns': 'sunic.sunet.se/2001:6b0:7::2'}
200,CG,WARNING,Connectivity,CN02_NO_RESPONSE_TCP,{'ns': 'dns-ca.dnsafrica.net/2607:5300:201:3100::2b7c'}
201,CG,WARNING,Connectivity,CN02_NO_RESPONSE_TCP,{'ns': 'dns-sg.dnsafrica.net/2402:1f00:8000:800::25ed'}
202,CG,WARNING,Connectivity,CN02_NO_RESPONSE_TCP,{'ns': 'sunic.sunet.se/2001:6b0:7::2'}
203,CG,ERROR,Connectivity,ERROR_ASN_DATABASE,{'ns_ip': '151.80.35.161'}
204,CG,ERROR,Connectivity,ERROR_ASN_DATABASE,{'ns_ip': '192.36.125.2'}
205,CG,ERROR,Connectivity,ERROR_ASN_DATABASE,{'ns_ip': '54.39.22.36'}
206,CG,ERROR,Connectivity,ERROR_ASN_DATABASE,{'ns_ip': '51.79.160.242'}
207,CG,ERROR,Connectivity,ERROR_ASN_DATABASE,{'ns_ip': '41.185.30.170'}
208,CG,ERROR,Connectivity,ERROR_ASN_DATABASE,{'ns_ip': '2402:1f00:8000:800::25ed'}
209,CG,ERROR,Connectivity,ERROR_ASN_DATABASE,{'ns_ip': '2001:6b0:7::2'}
210,CG,ERROR,Connectivity,ERROR_ASN_DATABASE,{'ns_ip': '2607:5300:201:3100::2b7c'}
211,CG,ERROR,Connectivity,CN04_ERROR_PREFIX_DATABASE,{'ns_ip': '2607:5300:201:3100::2b7c'}
212,CG,ERROR,Connectivity,CN04_ERROR_PREFIX_DATABASE,{'ns_ip': '54.39.22.36'}
213,CG,ERROR,Connectivity,CN04_ERROR_PREFIX_DATABASE,{'ns_ip': '151.80.35.161'}
214,CG,ERROR,Connectivity,CN04_ERROR_PREFIX_DATABASE,{'ns_ip': '2402:1f00:8000:800::25ed'}
215,CG,ERROR,Connectivity,CN04_ERROR_PREFIX_DATABASE,{'ns_ip': '51.79.160.242'}
216,CG,ERROR,Connectivity,CN04_ERROR_PREFIX_DATABASE,{'ns_ip': '41.185.30.170'}
217,CG,ERROR,Connectivity,CN04_ERROR_PREFIX_DATABASE,{'ns_ip': '192.36.125.2'}
218,CG,ERROR,Connectivity,CN04_ERROR_PREFIX_DATABASE,{'ns_ip': '2001:6b0:7::2'}
219,CG,NOTICE,DNSSEC,NEITHER_DNSKEY_NOR_DS,"{'child': '54.39.22.36', 'parent': '198.41.0.4'}"
220,CG,NOTICE,DNSSEC,NOT_SIGNED,{'zone': 'cg'}
221,CG,WARNING,Nameserver,CASE_QUERY_NO_ANSWER,"{'domain': 'www.cG', 'ns': 'dns-za.dnsafrica.net/41.185.30.170', 'type': 'SOA'}"
222,CG,ERROR,Nameserver,CASE_QUERIES_RESULTS_DIFFER,"{'domain': 'www.cg', 'type': 'SOA'}"
223,CG,WARNING,Nameserver,N10_NO_RESPONSE_EDNS1_QUERY,{'ns_ip_list': '41.185.30.170'}
224,CG,WARNING,Nameserver,N11_NO_RESPONSE,{'ns_ip_list': '41.185.30.170'}
225,CG,NOTICE,Nameserver,N15_SOFTWARE_VERSION,"{'ns_list': 'sunic.sunet.se/192.36.125.2', 'query_name': 'version.bind', 'string': 'sunic node1'}"
226,CG,NOTICE,Nameserver,N15_SOFTWARE_VERSION,"{'ns_list': 'sunic.sunet.se/192.36.125.2', 'query_name': 'version.server', 'string': 'sunic node1'}"
227,CG,NOTICE,Nameserver,N15_SOFTWARE_VERSION,"{'ns_list': 'dns-ca.dnsafrica.net/54.39.22.36;dns-fr.dnsafrica.net/151.80.35.161;dns-sg.dnsafrica.net/51.79.160.242', 'query_name': 'version.bind', 'string': 'Bind 9'}"
228,CG,NOTICE,Nameserver,N15_ERROR_ON_VERSION_QUERY,"{'ns_list': 'dns-za.dnsafrica.net/41.185.30.170', 'query_name': 'version.bind'}"
229,CG,NOTICE,Nameserver,N15_ERROR_ON_VERSION_QUERY,"{'ns_list': 'dns-za.dnsafrica.net/41.185.30.170', 'query_name': 'version.server'}"
230,CG,NOTICE,Zone,REFRESH_MINIMUM_VALUE_LOWER,"{'refresh': 3600, 'required_refresh': 14400}"
231,CG,NOTICE,Zone,RETRY_MINIMUM_VALUE_LOWER,"{'required_retry': 3600, 'retry': 1800}"
232,CG,WARNING,Zone,Z09_NO_RESPONSE_MX_QUERY,{'ns_ip_list': '41.185.30.170'}
233,CG,NOTICE,Zone,Z11_NO_SPF_FOUND,{}
234,CM,NOTICE,Address,NAMESERVER_IP_PTR_MISMATCH,"{'names': 'd.nic.fr.', 'ns_ip': '194.0.9.1', 'nsname': 'ns-cm.nic.fr'}"
235,CM,NOTICE,Address,NAMESERVER_IP_PTR_MISMATCH,"{'names': 'd.nic.fr.', 'ns_ip': '2001:678:c::1', 'nsname': 'ns-cm.nic.fr'}"
236,CM,WARNING,Connectivity,CN01_NO_RESPONSE_UDP,{'ns': 'ns-cm.afrinic.net/2001:43f8:120::67'}
237,CM,WARNING,Connectivity,CN01_NO_RESPONSE_UDP,{'ns': 'ns-cm.nic.fr/2001:678:c::1'}
238,CM,WARNING,Connectivity,CN01_NO_RESPONSE_UDP,{'ns': 'ns.itu.ch/2a00:7580:60:2141::10'}
239,CM,WARNING,Connectivity,CN01_NO_RESPONSE_UDP,{'ns': 'phloem.uoregon.edu/2001:468:d01:20::80df:2023'}
240,CM,WARNING,Connectivity,CN02_NO_RESPONSE_NS_QUERY_TCP,{'ns': 'auth02.ns.uu.net/198.6.1.82'}
241,CM,WARNING,Connectivity,CN02_NO_RESPONSE_TCP,{'ns': 'ns-cm.afrinic.net/2001:43f8:120::67'}
242,CM,WARNING,Connectivity,CN02_NO_RESPONSE_TCP,{'ns': 'ns-cm.nic.fr/2001:678:c::1'}
243,CM,WARNING,Connectivity,CN02_NO_RESPONSE_TCP,{'ns': 'ns.itu.ch/2a00:7580:60:2141::10'}
244,CM,WARNING,Connectivity,CN02_NO_RESPONSE_TCP,{'ns': 'phloem.uoregon.edu/2001:468:d01:20::80df:2023'}
245,CM,ERROR,Connectivity,ERROR_ASN_DATABASE,{'ns_ip': '195.24.205.60'}
246,CM,ERROR,Connectivity,ERROR_ASN_DATABASE,{'ns_ip': '194.0.9.1'}
247,CM,ERROR,Connectivity,ERROR_ASN_DATABASE,{'ns_ip': '198.6.1.82'}
248,CM,ERROR,Connectivity,ERROR_ASN_DATABASE,{'ns_ip': '196.216.168.67'}
249,CM,ERROR,Connectivity,ERROR_ASN_DATABASE,{'ns_ip': '156.106.192.121'}
