DNSSEC database status for TLDs as of 2020-07-13
TLD,Status,Is Principal,Is Test,Is IDN,Is Country,Is Regional,Map Region
IT, Operational, 1, 0, 0, 1, 0, EUR
KE, Operational, 1, 0, 0, 1, 0, AF
KI, Operational, 1, 0, 0, 1, 0, AP
KW, DS in Root, 1, 0, 0, 1, 0, AP
KY, DS in Root, 1, 0, 0, 1, 0, LAC
LB, DS in Root, 1, 0, 0, 1, 0, AP
LR, DS in Root, 1, 0, 0, 1, 0, AF
LT, Operational, 1, 0, 0, 1, 0, EUR
MA, DS in Root, 1, 0, 0, 1, 0, AF
MC, DS in Root, 1, 0, 0, 1, 0, EUR
MD, DS in Root, 1, 0, 0, 1, 0, EUR
MG, DS in Root, 1, 0, 0, 1, 0, AF
MR, DS in Root, 1, 0, 0, 1, 0, AF
MS, Partial, 1, 0, 0, 1, 0, LAC
MU, Operational, 1, 0, 0, 1, 0, AF
NF, Operational, 1, 0, 0, 1, 0, AP
NO, Operational, 1, 0, 0, 1, 0, EUR
PE, Operational, 1, 0, 0, 1, 0, LAC
PL, Operational, 1, 0, 0, 1, 0, EUR
PW, DS in Root, 1, 0, 0, 1, 0, AP
PY, Announced, 1, 0, 0, 1, 0, LAC
RO, Operational, 1, 0, 0, 1, 0, EUR
RS, DS in Root, 1, 0, 0, 1, 0, EUR
RW, Experimental, 1, 0, 0, 1, 0, AF
SA, Operational, 1, 0, 0, 1, 0, AP
SB, Operational, 1, 0, 0, 1, 0, AP
SD, Announced, 1, 0, 0, 1, 0, AF
SI, Operational, 1, 0, 0, 1, 0, EUR
SJ, DS in Root, 1, 0, 0, 1, 0, EUR
SK, DS in Root, 1, 0, 0, 1, 0, EUR
SN, DS in Root, 1, 0, 0, 1, 0, AF
SU, Operational, 0, 0, 0, 0, 1, None
SY, DS in Root, 1, 0, 0, 1, 0, AP
TL, Operational, 1, 0, 0, 1, 0, AP
TN, DS in Root, 1, 0, 0, 1, 0, AF
TO, Experimental, 1, 0, 0, 1, 0, AP
TR, Announced, 1, 0, 0, 1, 0, AP
TT, Operational, 1, 0, 0, 1, 0, LAC
TV, DS in Root, 1, 0, 0, 1, 0, AP
TZ, Operational, 1, 0, 0, 1, 0, AF
UA, Operational, 1, 0, 0, 1, 0, EUR
UY, Operational, 1, 0, 0, 1, 0, LAC
VE, DS in Root, 1, 0, 0, 1, 0, LAC
VN, Operational, 1, 0, 0, 1, 0, AP
VU, DS in Root, 1, 0, 0, 1, 0, AP
WS, DS in Root, 1, 0, 0, 1, 0, AP
XN--0ZWM56D, DS in Root, 0, 1, 1, 0, 0, None
XN--11B5BS3A9AJ6G, DS in Root, 0, 1, 1, 0, 0, None
XN--3E0B707E, Operational, 0, 0, 1, 1, 0, AP
XN--45BRJ9C, DS in Root, 0, 0, 1, 1, 0, AP
XN--80AKHBYKNJ4F, DS in Root, 0, 1, 1, 0, 0, None
XN--9T4B11YI5A, DS in Root, 0, 1, 1, 0, 0, None
XN--DEBA0AD, DS in Root, 0, 1, 1, 0, 0, None
XN--FIQS8S, DS in Root, 0, 0, 1, 1, 0, AP
XN--FIQZ9S, DS in Root, 0, 0, 1, 1, 0, AP
XN--FPCRJ9C3D, DS in Root, 0, 0, 1, 1, 0, AP
XN--FZC2C9E2C, Partial, 0, 0, 1, 1, 0, AP
XN--G6W251D, DS in Root, 0, 1, 1, 0, 0, None
XN--GECRJ9C, DS in Root, 0, 0, 1, 1, 0, AP
XN--H2BRJ9C, DS in Root, 0, 0, 1, 1, 0, AP
XN--HGBK6AJ7F53BBA, DS in Root, 0, 1, 1, 0, 0, None
XN--HLCJ6AYA9ESC7A, DS in Root, 0, 1, 1, 0, 0, None
XN--JXALPDLP, DS in Root, 0, 1, 1, 0, 0, None
XN--KGBECHTV, DS in Root, 0, 1, 1, 0, 0, None
XN--KPRW13D, Operational, 0, 0, 1, 1, 0, AP
XN--KPRY57D, Operational, 0, 0, 1, 1, 0, AP
XN--LGBBAT1AD8J, Announced, 0, 0, 1, 1, 0, AF
XN--MGBBH1A71E, DS in Root, 0, 0, 1, 1, 0, AP
XN--O3CW4H, Operational, 0, 0, 1, 1, 0, AP
XN--P1AI, Operational, 0, 0, 1, 1, 0, EUR
XN--PGBS0DH, DS in Root, 0, 0, 1, 1, 0, AF
XN--S9BRJ9C, DS in Root, 0, 0, 1, 1, 0, AP
XN--WGBH1C, DS in Root, 0, 0, 1, 1, 0, AF
XN--XKC2AL3HYE2A, Partial, 0, 0, 1, 1, 0, AP
XN--XKC2DL3A5EE0H, DS in Root, 0, 0, 1, 1, 0, AP
XN--ZCKZAH, DS in Root, 0, 1, 1, 0, 0, None
XXX, DS in Root, 0, 0, 0, 0, 0, None
ZA, Operational, 1, 0, 0, 1, 0, AF
ZM, Operational, 1, 0, 0, 1, 0, AF
XN--J1AMH, Experimental, 0, 0, 1, 1, 0, EUR
XN--MGBX4CD0AB, DS in Root, 0, 0, 1, 1, 0, AP
SX, Operational, 1, 0, 0, 1, 0, LAC
XN--L1ACC, DS in Root, 0, 0, 1, 1, 0, AP
CAMERA, DS in Root, 1, 0, 0, 0, 0, None
XN--80ASEHDB, DS in Root, 1, 0, 1, 0, 0, None
XN--80ASWG, DS in Root, 1, 0, 1, 0, 0, None
XN--NGBC5AZD, DS in Root, 1, 0, 1, 0, 0, None
XN--UNUP4Y, DS in Root, 1, 0, 1, 0, 0, None
CLOTHING, DS in Root, 1, 0, 0, 0, 0, None
EQUIPMENT, DS in Root, 1, 0, 0, 0, 0, None
GURU, DS in Root, 1, 0, 0, 0, 0, None
HOLDINGS, DS in Root, 1, 0, 0, 0, 0, None
